#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
7jwb_D               -            421 IGHJ                 -             17   8.8e-23   78.1  27.4   1   3   1.1e-07   1.1e-07   29.9   3.9     4    17   114   127   112   127 0.93 mol:protein length:421  autonomous human heavy chain variable domain
7jwb_D               -            421 IGHJ                 -             17   8.8e-23   78.1  27.4   2   3   1.1e-07   1.1e-07   29.9   3.9     4    17   261   274   259   274 0.93 mol:protein length:421  autonomous human heavy chain variable domain
7jwb_D               -            421 IGHJ                 -             17   8.8e-23   78.1  27.4   3   3   1.1e-07   1.1e-07   29.9   3.9     4    17   408   421   406   421 0.93 mol:protein length:421  autonomous human heavy chain variable domain
4hjj_H               -            348 IGHJ                 -             17     1e-15   55.6  13.8   1   2   1.2e-08   1.2e-08   33.0   4.2     3    17   105   119   104   119 0.96 mol:protein length:348  Anti-IL12 Anti-IL18 DFab Heavy Chain
4hjj_H               -            348 IGHJ                 -             17     1e-15   55.6  13.8   2   2   1.8e-09   1.8e-09   35.6   2.1     2    17   231   246   230   246 0.94 mol:protein length:348  Anti-IL12 Anti-IL18 DFab Heavy Chain
6o89_H               -            358 IGHJ                 -             17   9.4e-15   52.5  13.7   1   2   7.3e-08   7.4e-08   30.5   4.7     2    17   105   120   105   120 0.94 mol:protein length:358  Anti-CD28xCD3 CODV-Fab Heavy chain
6o89_H               -            358 IGHJ                 -             17   9.4e-15   52.5  13.7   2   2   2.9e-09   2.9e-09   35.0   1.6     4    17   229   242   227   242 0.98 mol:protein length:358  Anti-CD28xCD3 CODV-Fab Heavy chain
6o8d_H               -            358 IGHJ                 -             17   9.4e-15   52.5  13.7   1   2   7.3e-08   7.4e-08   30.5   4.7     2    17   105   120   105   120 0.94 mol:protein length:358  Anti-CD28xCD3 CODV Fab Heavy chain
6o8d_H               -            358 IGHJ                 -             17   9.4e-15   52.5  13.7   2   2   2.9e-09   2.9e-09   35.0   1.6     4    17   229   242   227   242 0.98 mol:protein length:358  Anti-CD28xCD3 CODV Fab Heavy chain
8vur_H               -            234 IGHJ                 -             17   6.4e-14   49.8  13.6   1   2   4.3e-08   4.4e-08   31.2   3.0     2    15   104   117   103   117 0.97 mol:protein length:234  003-102 Heavy
8vur_H               -            234 IGHJ                 -             17   6.4e-14   49.8  13.6   2   2   4.3e-08   4.4e-08   31.2   3.0     2    15   221   234   220   234 0.97 mol:protein length:234  003-102 Heavy
8i4h_B               -            258 IGHJ                 -             17   1.3e-13   48.8  13.6   1   2   1.1e-07   1.1e-07   30.0   3.1     5    17   106   118   106   118 0.98 mol:protein length:258  Bn03
8i4h_B               -            258 IGHJ                 -             17   1.3e-13   48.8  13.6   2   2   3.3e-08   3.4e-08   31.6   2.8     2    17   243   258   243   258 0.97 mol:protein length:258  Bn03
8blq_A               -            343 IGHJ                 -             17   8.7e-13   46.2  13.4   1   2   3.7e-08   3.7e-08   31.5   2.5     3    17   108   122   107   122 0.98 mol:protein length:343  CODV-Fab, heavy chain
8blq_A               -            343 IGHJ                 -             17   8.7e-13   46.2  13.4   2   2   4.9e-07   4.9e-07   27.9   3.3     2    17   226   241   226   241 0.97 mol:protein length:343  CODV-Fab, heavy chain
5fhx_H               -            345 IGHJ                 -             17   8.9e-13   46.2  13.4   1   2   3.7e-08   3.7e-08   31.5   2.5     3    17   109   123   108   123 0.98 mol:protein length:345  antibody fragment heavy-chain
5fhx_H               -            345 IGHJ                 -             17   8.9e-13   46.2  13.4   2   2   4.9e-07     5e-07   27.9   3.3     2    17   227   242   227   242 0.97 mol:protein length:345  antibody fragment heavy-chain
5hcg_H               -            345 IGHJ                 -             17   8.9e-13   46.2  13.4   1   2   3.7e-08   3.7e-08   31.5   2.5     3    17   109   123   108   123 0.98 mol:protein length:345  CODV heavy-chain
5hcg_H               -            345 IGHJ                 -             17   8.9e-13   46.2  13.4   2   2   4.9e-07     5e-07   27.9   3.3     2    17   227   242   227   242 0.97 mol:protein length:345  CODV heavy-chain
7dx4_H               -            124 IGHJ                 -             17   4.9e-12   43.8   4.0   1   1   1.3e-11   1.3e-11   42.5   4.0     1    17   107   123   107   123 0.97 mol:protein length:124  Heavy chain of FC08 Fab
8g1c_A               -            221 IGHJ                 -             17   8.3e-12   43.1   1.9   1   1   8.2e-12   8.3e-12   43.1   1.9     1    17   105   121   105   121 0.99 mol:protein length:221  Heavy chain of monoreactive 3B03 human Fab fragment
8g1c_C               -            221 IGHJ                 -             17   8.3e-12   43.1   1.9   1   1   8.2e-12   8.3e-12   43.1   1.9     1    17   105   121   105   121 0.99 mol:protein length:221  Heavy chain of monoreactive 3B03 human Fab fragment
7um3_H               -            231 IGHJ                 -             17   8.8e-12   43.0   1.9   1   1   8.6e-12   8.8e-12   43.0   1.9     1    17   104   120   104   120 0.99 mol:protein length:231  Fab heavy chain
7um3_I               -            231 IGHJ                 -             17   8.8e-12   43.0   1.9   1   1   8.6e-12   8.8e-12   43.0   1.9     1    17   104   120   104   120 0.99 mol:protein length:231  Fab heavy chain
6med_A               -            237 IGHJ                 -             17   9.1e-12   43.0   1.9   1   1   8.9e-12   9.1e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:237  antibody HEPC3 Heavy Chain
6med_C               -            237 IGHJ                 -             17   9.1e-12   43.0   1.9   1   1   8.9e-12   9.1e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:237  antibody HEPC3 Heavy Chain
6med_G               -            237 IGHJ                 -             17   9.1e-12   43.0   1.9   1   1   8.9e-12   9.1e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:237  antibody HEPC3 Heavy Chain
6mei_H               -            241 IGHJ                 -             17   9.3e-12   43.0   1.9   1   1   9.1e-12   9.3e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:241  antibody HEPC3 Heavy Chain
6mej_H               -            241 IGHJ                 -             17   9.3e-12   43.0   1.9   1   1   9.1e-12   9.3e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:241  antibody HEPC3 Heavy Chain
6mek_B               -            241 IGHJ                 -             17   9.3e-12   43.0   1.9   1   1   9.1e-12   9.3e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:241  HEPC3 Heavy Chain
6mek_H               -            241 IGHJ                 -             17   9.3e-12   43.0   1.9   1   1   9.1e-12   9.3e-12   43.0   1.9     1    17   109   125   109   125 0.99 mol:protein length:241  HEPC3 Heavy Chain
7sj0_B               -            122 IGHJ                 -             17   1.2e-11   42.6   1.6   1   1   3.4e-11   3.4e-11   41.1   1.6     2    17   107   122   107   122 0.97 mol:protein length:122  A7V3 Fab heavy chain
3skj_H               -            231 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   112   128   112   128 0.96 mol:protein length:231  Antibody, heavy chain
3skj_I               -            231 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   112   128   112   128 0.96 mol:protein length:231  Antibody, heavy chain
7lm8_H               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 Fab heavy chain
7lq7_P               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 heavy chain
7lq7_T               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 heavy chain
7lq7_y               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 heavy chain
7s5q_H               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 Heavy chain
7s5r_H               -            232 IGHJ                 -             17   1.3e-11   42.5   0.5   1   1   1.3e-11   1.3e-11   42.5   0.5     1    17   113   129   113   129 0.96 mol:protein length:232  COVA1-16 Heavy chain
7jmw_H               -            238 IGHJ                 -             17   1.4e-11   42.4   0.5   1   1   1.4e-11   1.4e-11   42.4   0.5     1    17   113   129   113   129 0.96 mol:protein length:238  COVA1-16 heavy chain
7jmx_H               -            238 IGHJ                 -             17   1.4e-11   42.4   0.5   1   1   1.4e-11   1.4e-11   42.4   0.5     1    17   113   129   113   129 0.96 mol:protein length:238  COVA1-16 heavy chain
5vag_C               -            247 IGHJ                 -             17   1.4e-11   42.3   0.5   1   1   1.4e-11   1.4e-11   42.3   0.5     1    17   105   121   105   121 0.96 mol:protein length:247  Heavy chain of antibody m826
6vy4_C               -            221 IGHJ                 -             17   1.5e-11   42.3   0.3   1   1   1.5e-11   1.5e-11   42.3   0.3     2    17   103   118   102   118 0.97 mol:protein length:221  Anti-Hendra receptor binding protein antibody HENV-32 Fab heavy chain
6vy4_H               -            221 IGHJ                 -             17   1.5e-11   42.3   0.3   1   1   1.5e-11   1.5e-11   42.3   0.3     2    17   103   118   102   118 0.97 mol:protein length:221  Anti-Hendra receptor binding protein antibody HENV-32 Fab heavy chain
4nwt_H               -            233 IGHJ                 -             17   1.5e-11   42.3   4.0   1   1   1.5e-11   1.5e-11   42.3   4.0     1    17   112   128   112   128 0.99 mol:protein length:233  APE1531 Ab Fab heavy chain
4nwu_H               -            242 IGHJ                 -             17   1.6e-11   42.2   4.0   1   1   1.6e-11   1.6e-11   42.2   4.0     1    17   121   137   121   137 0.99 mol:protein length:242  APE1551 Ab Fab heavy chain
7or9_H               -            228 IGHJ                 -             17   1.7e-11   42.1   1.6   1   1   1.7e-11   1.7e-11   42.1   1.6     2    17   108   123   107   123 0.97 mol:protein length:228  COVOX-278 Fab heavy chain
7whz_H               -            123 IGHJ                 -             17   1.7e-11   42.1   0.9   1   1   1.7e-11   1.7e-11   42.1   0.9     2    17   108   123   107   123 0.97 mol:protein length:123  XMA09 heavy chain variable domain
7wi0_H               -            123 IGHJ                 -             17   1.7e-11   42.1   0.9   1   1   1.7e-11   1.7e-11   42.1   0.9     2    17   108   123   107   123 0.97 mol:protein length:123  XMA09 heavy chain variable domain
6lnt_H               -            120 IGHJ                 -             17     2e-11   41.9   2.5   1   1   5.6e-11   5.7e-11   40.4   2.5     3    17   106   120   104   120 0.96 mol:protein length:120  Fab DV62.5 heavy-chain variable region
6lnt_P               -            120 IGHJ                 -             17     2e-11   41.9   2.5   1   1   5.6e-11   5.7e-11   40.4   2.5     3    17   106   120   104   120 0.96 mol:protein length:120  Fab DV62.5 heavy-chain variable region
6d11_A               -            228 IGHJ                 -             17     2e-11   41.9   3.4   1   1     2e-11     2e-11   41.9   3.4     1    17   109   125   109   125 0.99 mol:protein length:228  1450 Antibody, Heavy chain
6d11_C               -            228 IGHJ                 -             17     2e-11   41.9   3.4   1   1     2e-11     2e-11   41.9   3.4     1    17   109   125   109   125 0.99 mol:protein length:228  1450 Antibody, Heavy chain
8ez3_H               -            123 IGHJ                 -             17   2.2e-11   41.8   1.1   1   1   2.2e-11   2.2e-11   41.8   1.1     2    17   108   123   108   123 0.97 mol:protein length:123  Heavy chain of influenza virus neuraminidase antibody 3A10
