pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
9cq4	C	D	0	F | G	protein | protein	NA | NA	t-cell surface glycoprotein cd3 epsilon chain | t-cell surface glycoprotein cd3 gamma chain	MEMBRANE PROTEIN/IMMUNE SYSTEM	01/15/25	G115 gamma delta TCR/CD3 complex bound by OKT3 Fab	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens | homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.27	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cq4	H	L	0	E	protein	NA	t-cell surface glycoprotein cd3 epsilon chain	MEMBRANE PROTEIN/IMMUNE SYSTEM	01/15/25	G115 gamma delta TCR/CD3 complex bound by OKT3 Fab	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.27	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cq7	H	I	0	D | G	protein | protein	NA | NA	g115 tcr delta chain | g115 tcr gamma chain	MEMBRANE PROTEIN/IMMUNE SYSTEM	01/15/25	G115 TCR extracellular domain bound to Fab 1	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens | homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.21	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cq8	C	E	0	A	protein	NA	9c2 tcr delta chain	MEMBRANE PROTEIN/IMMUNE SYSTEM	01/15/25	Dimeric 9C2 gamma delta TCR extracellular domain bound by Fab 2	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.45	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cq8	G	H	0	D	protein	NA	9c2 tcr delta chain	MEMBRANE PROTEIN/IMMUNE SYSTEM	01/15/25	Dimeric 9C2 gamma delta TCR extracellular domain bound by Fab 2	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.45	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
9cql	J	K	0	E	protein	NA	9c2 tcr delta chain	MEMBRANE PROTEIN	01/15/25	Dimeric 9C2 gamma delta TCR bound by Fab 3	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.46	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9cql	C	D	0	A	protein	NA	9c2 tcr delta chain	MEMBRANE PROTEIN	01/15/25	Dimeric 9C2 gamma delta TCR bound by Fab 3	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Hoque, M., Saotome, K., Franklin, M.C.	3.46	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8jzp	H	H	0	B | C	protein | protein	NA | NA	guanine nucleotide-binding protein g(o) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN/IMMUNE SYSTEM	01/15/25	Structure of mouse C5a-human C5aR1-Go complex	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Yadav, M.K., Yadav, R., Maharana, J., Sarma, P., Banerjee, R., Shukla, A.K., Gati, C.	3.45	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8vvf	E	E	0	B | C	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	01/15/25	Kappa opioid receptor:Galphai protein in complex with inverse agonist JDTic	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Gati, C., Motiwala, Z., Tyson, A.S., Styrpejko, D., Han, G.W., Khan, S., Ramos-Gonzalez, N., Shenvi, R., Majumdar, S.	3.0	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8xs1	H	L	0	A	peptide	NA	osteocalcin	IMMUNE SYSTEM	01/15/25	Crystal structure of Fab fragment of anti-osteocalcin antibody KTM219 complexed with C-terminal peptide antigen	Mus musculus; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Komatsu, M., Dong, J., Ueda, H., Arai, R.	2.3	X-RAY DIFFRACTION	0.248	0.199	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
